N°perçage;Longueur percee eprouvetteAlCFRP(mm);N(tr/min);f(mm/tr);Vc(mm/min);geo outil;D outil(mm);Ep Materiau(mm);MITIS;AmpMITIS;FreqMITIS;Aspiration;Lubrification;Niveau air ;Niveau huile ;KcFz;max Fz;minFz;moyenneFz;stdFz;kurtFz;skewFz;varFz;KcMz;max Mz;min Mz;moyenneMz;stdMz;kurtMz;skewMz;varMz;RmsVzUPA;RmsVzpiece;RmsVypiece;KcIThrust;max Ithrust;minIThrust;moyenneIThrust;stdIThrust;kurtFzIThrust;skewIThrust;varIThrust;KcITorque;max Itorque;min Itorque;moyenneITorque;stdITorque;kurtITorque;skewITorque;varITorque;AmpFz_Frot;AmpFz_passage dents;AmpFz_Fvib;AmpMz_Frot;AmpMz_passage dents;AmpMz_Fvib;AmpVzUPA_Frot;AmpVzUPA_passage dents;AmpVzUPA_Fvib;AmpVzpiece_Frot;AmpVzpiece_passage dents;AmpVzpiece_Fvib;AmpVypiece_Frot;AmpVypiece_passage dents;AmpVypiece_Fvib;defaut;alea;Materiau
21;582.12;6000;0.16;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;423.0402503;846.2313337999999;-419.4763062;215.41209544651042;416.01400822968594;-1.5141692856009312;-0.0142538340386446;173067.6550433292;1.4989689554674812;13.32793588;-8.417501117;0.7632749921240414;4.963908288568509;-0.936735048056613;0.41920296054568457;24.64038549731914;14.021136288025993;8.97577105137418;8.97577105137418;0.5726302697041106;0.32799999999999996;0.26899999999999996;0.2915833333333331;0.017423988680153112;-1.1205754766889457;0.5789529867637055;0.00030359538152610377;43.06781412486439;22.705;20.264;21.930130952380946;0.6771906848212843;-0.6598018825922285;-0.705976801165288;0.45858722360872006;4,13716569;7,04728135;579,3372753;1,48313813;0,09436488;6,05824226;0,0900276;0,15789582;1,00230696;0,0230927;0,07373463;5,26975085;0,0230927;0,07373463;5,26975085;0;0;0
22;609.84;6000;0.17;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;443.8378048;802.8425121;-296.48942789999995;226.00221022846395;360.6608143875961;-1.5038669678111207;0.08401339258003455;130076.22303472404;1.7085913225414922;4.74844076;-3.42136544;0.8700147014381278;1.4731159507474778;-0.552273624926098;-0.10986007316509917;2.1700706043466456;13.229490982793438;4.43285049605487;2.9298166251176667;0.5919416077507194;0.34;0.281;0.3014166666666663;0.018036915514719816;-0.9856207046260277;0.7304494792464448;0.00032533032128514034;49.48125911794412;26.514;22.168000000000003;25.195857142857147;1.172537657245689;0.06588722354789489;-1.0889418624654315;1.3748445576592085;8,17453585;7,94935206;468,2186165;1,34600724;0,07258911;0,34624948;0,06008125;0,14324247;1,22132786;0,02008782;0,07094188;4,80216746;0,06757875;0,02862739;2,12375328;0;0;0
23;637.56;6000;0.18;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;431.108554;702.2096822000001;-308.33029780000004;219.5204757100217;314.80404937604476;-1.4924965073202188;-0.04099833249486697;99101.58950355521;1.6733349209564707;13.602557399999998;-12.817851;0.8520621417510349;5.96938188459626;-0.9446649054085117;0.033826392956559266;35.63352008414599;13.78090927493699;8.420268795763485;5.607170777556334;0.6087513560019445;0.316;0.305;0.3099761904761901;0.0055078830483340085;-2.0104928280403587;0.19484268679833144;3.0336775674125126e-05;49.10443085325253;26.465;21.581999999999997;25.003976190476187;1.3438094473367788;-0.2876019448166973;-0.9565098565870647;1.805823830751579;7,74259388;7,65030755;440,9309072;1,33437224;0,23803041;7,89622406;0,05622878;0,14272218;0,83475961;0,02576015;0,08017328;8,60207845;0,06744279;0,02523488;2,13799011;0;0;0
24;665.28;6000;0.19;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;438.9688937;624.3696252000001;-141.4050948;223.52296065357893;216.67173621021146;-1.3411104399740126;0.10562773070942251;46946.641272347464;1.6253471712722143;18.56021869;-13.43243731;0.8276267796118115;7.84976928455369;-1.1758264972729622;0.3076952060177486;61.61887782072255;13.705122977481624;8.643154455396557;5.450071618781579;0.6331360116709681;0.35100000000000003;0.316;0.322392857142857;0.008503745251631604;2.613490725404427;1.495489259908603;7.231368330464705e-05;48.45731399394011;25.976;21.533;24.674464285714304;1.2687223764829876;-0.16892876220108288;-1.0101397261797613;1.6096564685886399;6,46206453;10,01130151;303,4359887;1,36197099;0,12711826;10,40450777;0,07512305;0,16396722;0,35394145;0,02259593;0,13827598;8,62208541;0,06673696;0,03562907;2,16917944;0;0;0
25;693;6000;0.20;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;443.5525431;634.6750162000001;-197.57547380000003;225.8569549474833;236.04504531523887;-1.3931670464379908;0.008068144878217894;55717.263417873175;1.6538966663385506;13.50762461;-11.97599539;0.8421641824995899;6.30129595187351;-1.0152767611851823;-0.14344534696119285;39.70633067309749;13.538533320637935;7.808776372182748;5.48296696980791;0.6726704821755879;0.375;0.32799999999999996;0.34252380952380934;0.01558843886592033;0.3829203173890443;1.2569594602791148;0.0002429994262765355;47.62391052257511;25.342;21.484;24.250095238095245;1.0083086472751401;0.09613026343831699;-1.0461521628597623;1.0166863281698229;6,29773898;9,68779028;328,8260186;1,49933544;0,20631908;8,13962994;0,05931104;0,15338918;0,64269164;0,01398576;0,11329868;7,42704566;0,06735029;0,06756501;2,80833371;0;0;0
26;720.72;6000;0.21;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;443.66889;563.7253817000001;-135.6828883;225.91619881302725;196.17954388369057;-1.4102493472779674;-0.02843609779005951;38486.41343841287;1.4159349142892124;16.50821311;-10.62434089;0.7209940583560669;6.638705205340739;-0.7949115258970507;0.6077742408290358;44.07240680341822;13.373223392255559;7.967433169320633;6.111290047285163;0.6402199528672422;0.363;0.316;0.32599999999999973;0.015533872821008855;1.3463915059401161;1.6223244731150404;0.00024130120481927759;43.87491583436197;22.803;20.947;22.341107142857116;0.4741269470047823;0.5003560847900541;-1.1849220257574133;0.22479636187607566;5,62898443;5,16707804;272,0059808;1,68862319;0,30666739;8,35157849;0,04394802;0,15420656;0,68039726;0,00614062288;0,0301041034;6,71147892;0,06312641;0,03816723;3,44601781;0;0;0
27;748.44;6000;0.22;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;450.2171186;661.6746232;-132.4472168;229.2505568012327;236.61177029943946;-1.3992732602223839;0.20890214707182406;55985.1298442347;1.6951845333798639;13.69201507;-15.01321193;0.8631879643970266;6.998995689549154;-0.898994673460356;-0.43227811115173337;48.985940662327636;13.52775703409383;6.974526854435197;5.7298031031567636;0.6692804773126841;0.387;0.32799999999999996;0.34079761904761874;0.017797914973257264;0.3939077186715858;1.3403873979135175;0.00031676577739529516;45.76286799087271;24.023000000000003;22.217;23.30245238095238;0.33744084371384403;1.3076441764482114;0.10480461254359104;0.11386632300631093;6,53480575;7,13629226;325,6297143;1,23422683;0,44466256;9,27450782;0,06747487;0,18061889;0,81528859;0,00575360064;0,0421606137;6,53656257;0,05835251;0,05222142;3,73716095;0;0;0
28;776.16;6000;0.23;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;462.7058719;432.3990976;48.77322963;235.6098299842444;104.03114994148139;-1.450542776737333;0.11601891185038007;10822.480158146984;1.6982065105635527;14.65383669;-16.21030831;0.864726755178961;6.6590370603502596;-0.6031836510138922;-0.35483276476045666;44.34277457111823;13.101250281778098;7.154956847696398;4.687820922733674;0.7509211461489548;0.42200000000000004;0.375;0.3823690476190478;0.00930057617324494;4.5323387844272585;1.7829168988374404;8.650071715433151e-05;49.123905846706315;25.976;22.51;25.013892857142856;0.9682516477870515;-0.26129375728313553;-1.0034004148252447;0.9375112534423404;7,03184396;10,17757195;131,1122029;2,26420398;0,19466085;5,58618097;0,07987622;0,16125385;0,30798074;0,02055204;0,14572201;6,07437387;0,06178942;0,06738389;1,07164705;0;0;0
29;803.88;6000;0.24;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;461.1427465;540.0968155;-62.12884945;234.81388649365516;174.62388764446405;-1.467613168170721;0.12065604270058976;30493.502136066403;1.724135580234505;14.05330486;-14.52501814;0.87792983745541;5.442746001684598;-0.2153239458951668;-0.22311325940056456;29.62348403885368;13.643181432498606;7.398824442464038;4.709424321804781;0.6777204204541197;0.375;0.32799999999999996;0.34509523809523773;0.0180024222249875;-1.6586424518740142;0.2806100209387987;0.00032408720596672396;50.4424774623125;27.002;22.51;25.685309523809526;1.2595280333903474;-0.5772779394654286;-0.8001959205692889;1.5864108668961558;6,68040941;8,88015736;237,7132297;2,50690692;0,07352519;4,00053543;0,0759158;0,1478894;0,35859088;0,02121709;0,13166494;6,68990145;0,07830992;0,03264623;1,72999233;0;0;0
30;831.6;6000;0.25;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;460.4105025;744.5981038;-268.02042620000003;234.44102786421533;323.8352292448548;-1.4728859627125233;0.023240609628114854;104869.25570006768;1.746397958126863;8.94031999;-7.13336561;0.8892658402781985;2.8450129606465167;-0.41057234345367366;0.022324884952831095;8.094098746246658;13.68384233176085;5.582775283534734;5.142038622199481;0.7019881794037329;0.387;0.32799999999999996;0.3574523809523808;0.01922999963154003;-1.5335745015118556;0.2760292153346561;0.00036979288582902973;51.314503609770654;27.93;22.412;26.129345238095215;1.4743909381201405;-0.3255075005410455;-0.8794960836039586;2.173828638410788;6,71454781;7,48002084;435,9889997;1,71398144;0,11024041;2,17805824;0,08427915;0,1524864;0,99557717;0,00926099;0,07435582;4,02447345;0,04606872;0,04979581;2,7224738;0;0;0
